,work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,employee_residence,remote_ratio,company_location,company_size,job_category
0,2024,SE,FT,Data Scientist,294000,USD,294000,US,0,US,M,Data Scientist
1,2024,SE,FT,Data Scientist,137600,USD,137600,US,0,US,M,Data Scientist
2,2024,EN,FT,Applied Scientist,208800,USD,208800,US,0,US,M,Data Scientist
3,2024,EN,FT,Applied Scientist,98300,USD,98300,US,0,US,M,Data Scientist
4,2024,SE,FT,Data Scientist,280500,USD,280500,US,0,US,M,Data Scientist
5,2024,SE,FT,Data Scientist,173400,USD,173400,US,0,US,M,Data Scientist
6,2024,SE,FT,Data Scientist,188500,USD,188500,US,0,US,M,Data Scientist
7,2024,SE,FT,Data Scientist,165100,USD,165100,US,0,US,M,Data Scientist
8,2024,MI,FT,Data Engineer,244700,USD,244700,US,100,US,M,Data Engineer
9,2024,MI,FT,Data Engineer,136800,USD,136800,US,100,US,M,Data Engineer
10,2024,SE,FT,Analytics Engineer,215000,USD,215000,US,0,US,M,Data Analyst
11,2024,SE,FT,Analytics Engineer,180000,USD,180000,US,0,US,M,Data Analyst
12,2024,SE,FT,Analytics Engineer,275000,USD,275000,US,0,US,M,Data Analyst
13,2024,SE,FT,Analytics Engineer,220000,USD,220000,US,0,US,M,Data Analyst
14,2024,MI,FT,Analytics Engineer,160000,USD,160000,US,0,US,M,Data Analyst
15,2024,MI,FT,Analytics Engineer,130000,USD,130000,US,0,US,M,Data Analyst
16,2024,MI,FT,Data Analyst,150000,USD,150000,US,100,US,M,Data Analyst
17,2024,MI,FT,Data Analyst,120000,USD,120000,US,100,US,M,Data Analyst
18,2024,SE,FT,Data Scientist,196700,USD,196700,US,0,US,M,Data Scientist
19,2024,SE,FT,Data Scientist,122900,USD,122900,US,0,US,M,Data Scientist
20,2024,SE,FT,Research Scientist,300200,USD,300200,US,0,US,M,Data Scientist
21,2024,SE,FT,Research Scientist,170700,USD,170700,US,0,US,M,Data Scientist
22,2024,SE,FT,Data Scientist,251600,USD,251600,US,0,US,M,Data Scientist
23,2024,SE,FT,Data Scientist,120100,USD,120100,US,0,US,M,Data Scientist
24,2024,MI,FT,Data Engineer,120470,USD,120470,US,0,US,M,Data Engineer
25,2024,MI,FT,Data Engineer,86330,USD,86330,US,0,US,M,Data Engineer
26,2024,MI,FT,Data Scientist,223500,USD,223500,US,0,US,M,Data Scientist
27,2024,MI,FT,Data Scientist,109100,USD,109100,US,0,US,M,Data Scientist
28,2024,SE,FT,Data Scientist,223500,USD,223500,US,0,US,M,Data Scientist
29,2024,SE,FT,Data Scientist,109100,USD,109100,US,0,US,M,Data Scientist
30,2024,SE,FT,Data Scientist,300200,USD,300200,US,0,US,M,Data Scientist
31,2024,SE,FT,Data Scientist,170700,USD,170700,US,0,US,M,Data Scientist
32,2024,MI,FT,Data Analyst,16000,USD,16000,PH,100,PH,M,Data Analyst
33,2024,MI,FT,Data Analyst,16000,USD,16000,PH,100,PH,M,Data Analyst
34,2024,SE,FT,Data Architect,200000,USD,200000,US,0,US,M,Data Architect
35,2024,SE,FT,Data Architect,115000,USD,115000,US,0,US,M,Data Architect
36,2024,MI,FT,Data Engineer,208800,USD,208800,US,0,US,M,Data Engineer
37,2024,MI,FT,Data Engineer,98300,USD,98300,US,0,US,M,Data Engineer
38,2024,SE,FT,Data Engineer,149000,USD,149000,US,100,US,M,Data Engineer
39,2024,SE,FT,Data Engineer,108000,USD,108000,US,100,US,M,Data Engineer
40,2024,SE,FT,Data Engineer,188640,USD,188640,US,0,US,M,Data Engineer
41,2024,SE,FT,Data Engineer,125760,USD,125760,US,0,US,M,Data Engineer
42,2024,SE,FT,Data Engineer,270000,USD,270000,US,0,US,M,Data Engineer
43,2024,SE,FT,Data Engineer,179800,USD,179800,US,0,US,M,Data Engineer
44,2024,EX,FT,Data Engineer,144997,USD,144997,CA,0,CA,M,Data Engineer
45,2024,EX,FT,Data Engineer,105452,USD,105452,CA,0,CA,M,Data Engineer
46,2024,SE,FT,Software Engineer,294000,USD,294000,US,0,US,M,Data Engineer
47,2024,SE,FT,Software Engineer,137600,USD,137600,US,0,US,M,Data Engineer
48,2024,SE,FT,Software Engineer,229900,USD,229900,US,0,US,M,Data Engineer
49,2024,SE,FT,Software Engineer,201400,USD,201400,US,0,US,M,Data Engineer
50,2024,SE,FT,Software Engineer,239000,USD,239000,US,0,US,M,Data Engineer
51,2024,SE,FT,Software Engineer,161000,USD,161000,US,0,US,M,Data Engineer
52,2024,SE,FT,AI Specialist,276000,USD,276000,US,0,US,M,Other
53,2024,SE,FT,AI Specialist,148000,USD,148000,US,0,US,M,Other
54,2024,MI,FT,AI Engineer,171210,USD,171210,CA,0,CA,M,Data Engineer
55,2024,MI,FT,AI Engineer,92190,USD,92190,CA,0,CA,M,Data Engineer
56,2024,MI,FT,Data Scientist,138000,USD,138000,US,0,US,M,Data Scientist
57,2024,MI,FT,Data Scientist,86000,USD,86000,US,0,US,M,Data Scientist
58,2024,MI,FT,Data Scientist,175100,USD,175100,US,0,US,M,Data Scientist
59,2024,MI,FT,Data Scientist,75705,USD,75705,US,0,US,M,Data Scientist
60,2024,MI,FT,Machine Learning Engineer,220000,USD,220000,US,0,US,M,Data Engineer
61,2024,MI,FT,Machine Learning Engineer,96600,USD,96600,US,0,US,M,Data Engineer
